1|Stardew Valley|1
2|Miscellaneous|2
3|Gameplay Mechanics|3
4|Player|4
5|Characters|5
6|Portraits|6
7|Livestock and Animals|7
8|Pets / Horses|8
9|Modding Tools|9
10|User Interface|10
11|Cheats|11
12|Audio|12
13|Clothing|13
14|Crops|14
15|Items|15
16|Locations|16
17|Buildings|17
18|Events|18
19|Interiors|19
20|Dialogue|20
21|Maps|21
22|Crafting|22
23|Furniture|23
24|New Characters|24
25|Visuals and Graphics|25
26|Fishing|26
27|Expansions|27
